oscar_no,Year,Gender,Name,Movie,Age,Birthplace,Birth Year,birth_mo,birth_d,birth_y
1,1929,Female,Janet Gaynor,7th Heaven,22,Pennsylvania,10/6/1906,10,6,1906
2,1930,Female,Mary Pickford,Coquette,37,Canada,1892-04-08,4,8,1892
3,1931,Female,Norma Shearer,The Divorcee,28,Canada,8/10/1902,8,10,1902
4,1932,Female,Marie Dressler,Min and Bill,63,Canada,1868-11-09,11,9,1868
5,1933,Female,Helen Hayes,The Sin of Madelon Claudet,32,Washington DC,10/10/1900,10,10,1900
6,1934,Female,Katharine Hepburn,Morning Glory,26,Connecticut,5/12/1907,5,12,1907
7,1935,Female,Claudette Colbert,It Happened One Night,31,France,9/13/1903,9,13,1903
8,1936,Female,Bette Davis,Dangerous,27,Massachusetts,4/5/1908,4,5,1908
9,1937,Female,Luise Rainer,The Great Zeigfeld,26,Germany,1/12/1910,1,12,1910
10,1938,Female,Luise Rainer,The Good Earth,27,Germany,1/12/1910,1,12,1910
11,1939,Female,Bette Davis,Jezebel,30,Massachusetts,4/5/1908,4,5,1908
12,1940,Female,Vivien Leigh,Gone With the Wind,26,India,11/5/1913,11,5,1913
13,1941,Female,Ginger Rogers,Kitty Foyle,29,Missouri,7/16/1911,7,16,1911
14,1942,Female,Joan Fontaine,Suspicion,24,Japan,10/22/1917,10,22,1917
15,1943,Female,Greer Garson,Mrs. Miniver,38,England,9/29/1904,9,29,1904
16,1944,Female,Jennifer Jones,The Song of Bernadette,24,Oklahoma,3/2/1919,3,2,1919
17,1945,Female,Ingrid Bergman,Gaslight,29,Sweden,8/29/1915,8,29,1915
18,1946,Female,Joan Crawford,Mildred Pierce,33,Texas,3/23/1912,3,23,1912
19,1947,Female,Olivia de Havilland,To Each His Own,30,Japan,7/1/1916,7,1,1916
20,1948,Female,Loretta Young,The Farmer's Daughter,34,Utah,1/6/1913,1,6,1913
21,1949,Female,Jane Wyman,Johnny Belinda,34,Missouri,1/4/1914,1,4,1914
22,1950,Female,Olivia de Havilland,The Heiress,33,Japan,7/1/1916,7,1,1916
23,1951,Female,Judy Holliday,Born Yesterday,29,New York,6/21/1921,6,21,1921
24,1952,Female,Vivien Leigh,A Streetcar Named Desire,38,India,11/5/1913,11,5,1913
25,1953,Female,Shirley Booth,"Come Back, Little Sheba",54,New York,1898-08-30,8,30,1898
26,1954,Female,Audrey Hepburn,Roman Holiday,24,Belgium,5/4/1929,5,4,1929
27,1955,Female,Grace Kelly,The Country Girl,25,Philly,11/12/1929,11,12,1929
28,1956,Female,Anna Magnani,The Rose Tattoo,47,Italy,3/7/1908,3,7,1908
29,1957,Female,Ingrid Bergman,Anastasia,41,Sweden,8/29/1915,8,29,1915
30,1958,Female,Joanne Woodward,The Three Faces of Eve,27,Georgia,2/27/1930,2,27,1930
31,1959,Female,Susan Hayward,I Want to Live!,41,New York,6/30/1917,6,30,1917
32,1960,Female,Simone Signoret,Room at the Top,38,Germany,3/25/1921,3,25,1921
33,1961,Female,Elisabeth Taylor,Butterfield 8,28,England,2/27/1932,2,27,1932
34,1962,Female,Sophia Loren,Two Women,27,Italy,9/20/1934,9,20,1934
35,1963,Female,Anne Bancroft,The Miracle Worker,31,New York,9/17/1931,9,17,1931
36,1964,Female,Patricia Neal,Hud,37,Kentucky,1/20/1926,1,20,1926
37,1965,Female,Julie Andrews,Mary Poppins,29,England,10/1/1935,10,1,1935
38,1966,Female,Julie Christie,Darling,25,India,4/14/1940,4,14,1940
39,1967,Female,Elizabeth Taylor,Who's Afraid of Virginia Wolf,34,England,2/27/1932,2,27,1932
40,1968,Female,Katharine Hepburn,Guess Who's Coming to Dinner,60,Connecticut,5/12/1907,5,12,1907
41,1969,Female,Barbra Streisand,Funny Girl,26,New York,4/24/1942,4,24,1942
41,1969,Female,Katharine Hepburn,The Lion in Winter,61,Connecticut,5/12/1907,5,12,1907
42,1970,Female,Maggie Smith,The Prime of Miss Jean Brodie,35,England,12/28/1934,12,28,1934
43,1971,Female,Glenda Jackson,Women In Love,34,England,5/9/1936,5,9,1936
44,1972,Female,Jane Fonda,Klute,34,New York,12/21/1937,12,21,1937
45,1973,Female,Liza Minnelli,Cabaret,26,California,3/12/1946,3,12,1946
46,1974,Female,Glenda Jackson,A Touch of Class,37,England,5/9/1936,5,9,1936
47,1975,Female,Ellen Burstyn,Alice Doesn't Live Here Anymore,42,Michigan,12/7/1932,12,7,1932
48,1976,Female,Louise Fletcher,One Flew Over the Cockoo's Nest,41,Alabama,7/22/1934,7,22,1934
49,1977,Female,Faye Dunaway,Network,35,Florida,1/14/1941,1,14,1941
50,1978,Female,Diane Keaton,Annie Hall,31,California,1/5/1946,1,5,1946
51,1979,Female,Jane Fonda,Coming Home,41,New York,12/21/1937,12,21,1937
52,1980,Female,Sally Field,Norma Rae,33,California,11/6/1946,11,6,1946
53,1981,Female,Sissy Spacek,Coal Miner's Daughter,31,Texas,12/25/1949,12,25,1949
54,1982,Female,Katharine Hepburn,On Golden Pond,74,Connecticut,5/12/1907,5,12,1907
55,1983,Female,Meryl Streep,Sophies Choice,33,New Jersey,6/22/1949,6,22,1949
56,1984,Female,Shirley MacLaine,Terms of Endearment,49,Virginia,4/24/1934,4,24,1934
57,1985,Female,Sally Field,Places in the Heart,38,California,11/6/1946,11,6,1946
58,1986,Female,Geraldine Page,Trip to Bountiful,61,Missouri,11/22/1924,11,22,1924
59,1987,Female,Marlee Matlin,Children of a Lesser God,21,Illinois,8/24/1965,8,24,1965
60,1988,Female,Cher,Moonstruck,41,California,5/20/1946,5,20,1946
61,1989,Female,Jodie Foster,The Accused,26,California,11/19/1962,11,19,1962
62,1990,Female,Jessica Tandy,Driving Miss Daisy,80,England,6/7/1909,6,7,1909
63,1991,Female,Kathy Bates,Misery,42,Tennessee,6/28/1948,6,28,1948
64,1992,Female,Jodie Foster,The Silence of the Lambs,29,California,11/19/1962,11,19,1962
65,1993,Female,Emma Thompson,Howards End,33,England,4/15/1959,4,15,1959
66,1994,Female,Holly Hunter,The Piano,35,Georgia,3/20/1958,3,20,1958
67,1995,Female,Jessica Lange,Blue Sky,45,Minnesota,4/20/1949,4,20,1949
68,1996,Female,Susan Sarandon,Dead Man Walking,49,New York,10/4/1946,10,4,1946
69,1997,Female,Frances McDormand,Fargo,39,Illinois,6/23/1957,6,23,1957
70,1998,Female,Helen Hunt,As Good As It Gets,34,California,6/15/1963,6,15,1963
71,1999,Female,Gwyneth Paltrow,Shakespeare in Love,26,California,9/28/1972,9,28,1972
72,2000,Female,Hilary Swank,Boys Don't Cry,25,Washington,7/30/1974,7,30,1974
73,2001,Female,Julia Roberts,Erin Brockovich,33,Georgia,10/28/1967,10,28,1967
74,2002,Female,Halle Berry,Monster's Ball,35,Ohio,8/14/1966,8,14,1966
75,2003,Female,Nicole Kidman,The Hours,35,Australia,6/20/1967,6,20,1967
76,2004,Female,Charlize Theron,Monster,28,South Africa,8/7/1975,8,7,1975
77,2005,Female,Hilary Swank,Million Dollar Baby,30,Washington,7/30/1974,7,30,1974
78,2006,Female,Reese Witherspoon,Walk the Line,29,Louisiana,3/22/1976,3,22,1976
79,2007,Female,Helen Mirren,The Queen,61,England,7/26/1945,7,26,1945
80,2008,Female,Marion Cotillard,La Vie en Rose,32,France,9/30/1975,9,30,1975
81,2009,Female,Kate Winslet,The Reader,33,England,10/5/1975,10,5,1975
82,2010,Female,Sandra Bullock,The Blind Side,45,Virginia,7/26/1964,7,26,1964
